summary_path,method,raw_method,task,split,n,accuracy,model,adapter,input,density,seed,lambda_med,lambda_legal
results/raw_merged/base_casehold_test.summary.json,Base,base,casehold,test,3600,0.5602777777777778,Qwen/Qwen2.5-1.5B-Instruct,,data/processed/casehold_test.jsonl,,,,
results/raw_merged/base_casehold_val.summary.json,Base,base,casehold,val,3900,0.5535897435897436,Qwen/Qwen2.5-1.5B-Instruct,,data/processed/casehold_val.jsonl,,,,
results/raw_merged/base_medmcqa_test.summary.json,Base,base,medmcqa,test,2092,0.4273422562141491,Qwen/Qwen2.5-1.5B-Instruct,,data/processed/medmcqa_test.jsonl,,,,
results/raw_merged/base_medmcqa_val.summary.json,Base,base,medmcqa,val,2091,0.4414155906264945,Qwen/Qwen2.5-1.5B-Instruct,,data/processed/medmcqa_val.jsonl,,,,
results/raw_merged/full_dare_ties_d0p2_s42_casehold_test.summary.json,DARE_TIES d=0.2,dare_ties,casehold,test,3600,0.2038888888888889,merged/full_dare_ties_d0p2_s42,,data/processed/casehold_test.jsonl,0.2,42.0,,
results/raw_merged/full_dare_ties_d0p2_s42_casehold_val.summary.json,DARE_TIES d=0.2,dare_ties,casehold,val,3900,0.20205128205128206,merged/full_dare_ties_d0p2_s42,,data/processed/casehold_val.jsonl,0.2,42.0,,
results/raw_merged/full_dare_ties_d0p2_s42_medmcqa_test.summary.json,DARE_TIES d=0.2,dare_ties,medmcqa,test,2092,0.27007648183556404,merged/full_dare_ties_d0p2_s42,,data/processed/medmcqa_test.jsonl,0.2,42.0,,
results/raw_merged/full_dare_ties_d0p2_s42_medmcqa_val.summary.json,DARE_TIES d=0.2,dare_ties,medmcqa,val,2091,0.266857962697274,merged/full_dare_ties_d0p2_s42,,data/processed/medmcqa_val.jsonl,0.2,42.0,,
results/raw_merged/full_dare_ties_d0p2_s43_casehold_test.summary.json,DARE_TIES d=0.2,dare_ties,casehold,test,3600,0.19527777777777777,merged/full_dare_ties_d0p2_s43,,data/processed/casehold_test.jsonl,0.2,43.0,,
results/raw_merged/full_dare_ties_d0p2_s43_casehold_val.summary.json,DARE_TIES d=0.2,dare_ties,casehold,val,3900,0.20871794871794871,merged/full_dare_ties_d0p2_s43,,data/processed/casehold_val.jsonl,0.2,43.0,,
